id,average_sentiment,score
ao5BbNX,-0.0547945205479452,3.6010412891483123
a0RmAKX,-0.09302325581395349,2.7517995836565947
ao5BrKX,-0.1566265060240964,3.3273592786235513
a85rP0p,-0.14285714285714285,4.02055705153563
ayoyg4V,0.0,3.5830596961977514
aroP6B5,-0.19469026548672566,3.0967564779120376
am5DjQj,-0.08108108108108109,3.3715015329931415
a1R4z4D,-0.08108108108108109,2.7449103348176367
aV0GGOP,-0.08571428571428572,3.132259626702129
ae5XovO,-0.3111111111111111,3.356366759454284
aroPPN5,-0.1282051282051282,2.7900633527630454
a0RmmjZ,0.09375,3.0052520338945867
a2RQQdD,-0.10416666666666667,2.6452072114353866
ae5XXZq,0.1276595744680851,3.084784051169893
a2RQQ8d,-0.22727272727272727,3.8726670718653917
aZ799X3,-0.11538461538461539,2.1745991778182407
a85rrZe,-0.023809523809523808,2.0982190535607703
amvqq0y,-0.013333333333333334,2.719756308266653
agArryv,-0.0847457627118644,3.281270615593852
a3wvvA3,-0.34375,3.2861200419129726
azm77Gp,-0.08888888888888889,2.7367260010788765
aWxBBvq,0.1282051282051282,3.8330531683507587
amvqqbX,-0.1346153846153846,2.89628734384828
agArrZK,-0.2571428571428571,2.4136271127167848
aP766Vg,0.0,2.7845037568176525
ayeEEz8,0.10714285714285714,3.1629124536715834
a9njjoL,-0.04,3.241189123832192
aLw66qW,0.14705882352941177,3.1587719007984956
aj9QQ2G,-0.03409090909090909,2.7909671859911898
aZyqbbX,-0.18181818181818182,1.83012357195934
a3wvPEe,-0.1511627906976744,2.7583710858232604
aMxe2zX,-0.18421052631578946,2.5326348327801953
aVwjz9w,0.12195121951219512,2.227845463292548
a5WpeYy,-0.13761467889908258,2.9444389791664403
a8GdWoY,0.058823529411764705,2.1679749516133473
aYyjbQq,0.0,3.6477680658715053
aD4R0YO,-0.037037037037037035,2.804137079974707
a2WENKw,-0.10526315789473684,3.197471916205047
aP76vdV,-0.23076923076923078,2.892285634078449
adVyNWB,0.015873015873015872,4.504828501442208
aZyqP50,0.061224489795918366,3.3141860046725258
aj9Qr2g,-0.2,2.458033631536904
a8GdbLp,0.06666666666666667,3.3003617606026188
a3wvdYe,-0.3333333333333333,3.116718728927912
aWxB066,0.14545454545454545,3.234924136845338
a2WEPKe,-0.19230769230769232,3.291930611037264
a1WpZWP,0.13513513513513514,2.5526104460078214
aNgmoDb,-0.05172413793103448,3.7836670313456144
aBm9QoP,-0.2,3.5480264912604063
a9njMgD,0.041666666666666664,3.6094559240797253
aAeBVAg,-0.32142857142857145,2.6248881552335326
adVyYKV,0.16666666666666666,3.7064658386160123
ax9EZzW,-0.17142857142857143,3.1522919233222724
aNgmZ0v,-0.1357142857142857,2.4281456132630366
aQd64oe,0.16901408450704225,3.0986873009407567
aQd64zK,-0.28125,3.559088131300266
aeDK09W,-0.27906976744186046,3.0647251450409425
a1WpeNP,0.1111111111111111,2.862959126890225
aGdKwyn,-0.12962962962962962,2.3651807341732622
azm7EdZ,0.0,2.6517317705119865
aP764ow,-0.22950819672131148,4.183332843239018
an4eKEq,-0.011235955056179775,2.745823304686902
aO7obpr,-0.14545454545454545,2.234883680447966
a7WvyBm,0.0975609756097561,3.106361901891829
a2WEYQY,-0.2608695652173913,2.7577452608179605
aBm93q2,-0.5555555555555556,2.8633251081417495
avz2LgO,0.038461538461538464,2.411372565741851
aXgZX9D,0.2426470588235294,3.178444379073863
aP76GBq,0.07894736842105263,2.455919112914748
a7Wvbrz,0.09009009009009009,3.704644362851874
aBm9rwZ,-0.125,3.139061401638071
an4eBOL,0.1282051282051282,3.411291194831374
aEPdzoO,0.0,2.940382178470826
azm7VZZ,-0.4166666666666667,2.5542825896573413
aQd6nZK,-0.08571428571428572,2.8969637395783177
a0NvYMX,-0.0847457627118644,3.1956627373956024
aoPmjY0,-0.171875,2.655703720730001
azm7VDj,0.23214285714285715,3.1739161528254054
aD4RmXZ,-0.14285714285714285,3.1041381473977774
a2WEqnZ,-0.08,3.3456063662622193
aYyjwzV,0.21428571428571427,4.141311571830018
aBm9rqz,0.020833333333333332,3.5436861217415707
a6KrLYe,-0.0967741935483871,2.9256884298210646
aK74qzQ,-0.28,2.7219877089459916
aR76AjG,-0.42857142857142855,3.011340171219982
awBNxO1,0.515625,3.271231055202129
adVyjPM,0.06060606060606061,3.0069015483791177
aO7oVP3,0.06976744186046512,4.396915247167632
aWxB6dK,-0.29411764705882354,3.6716262059663767
a2WEmVO,-0.41935483870967744,3.4201228508940402
avz2PXX,0.0967741935483871,2.947279890168044
aD4RGzx,-0.19148936170212766,3.1940680223976563
a8Gd40V,-0.1509433962264151,2.030959971865576
aO7ovPE,-0.08823529411764706,2.1268489475584254
aBm91Nz,0.0,2.1635440445585536
ax9EDxK,0.0,3.743795211710051
aoPmpBn,0.08181818181818182,3.2542767378483783
a8GdpLV,-0.3170731707317073,3.3659557962851125
arV1Oq7,-0.02857142857142857,1.9150343616853884
aQd6MOW,-0.025,2.800926061758733
aeDKYy5,0.12903225806451613,3.5628387332185714
aWxB8KK,0.0,2.6997685802704883
azm7roq,-0.171875,3.773457316952864
arV1bR7,0.19230769230769232,3.4883939266923107
awBNnzQ,0.11764705882352941,3.18516064911329
a6KrbxA,-0.125,3.54468761110891
aQd69N2,0.09090909090909091,2.5845364907368418
a0NvbMX,-0.21428571428571427,3.1788651894188247
aYyjxX0,-0.20689655172413793,3.5305111383424745
aQd6eed,-0.10465116279069768,3.0454696317321983
aeDKeMb,-0.3684210526315789,2.9396428069029477
an4ej95,-0.029411764705882353,3.692718230421102
aoPmOOg,-0.3333333333333333,2.913716562905287
arV15ny,0.11538461538461539,2.774900861998161
a6KrVDe,-0.2857142857142857,3.219831543322597
aVwjMov,-0.16216216216216217,3.519497079691179
aYyj4R2,0.010309278350515464,3.6696039605856092
aK74Dyb,-0.23255813953488372,2.8917952456810183
aeDKewO,-0.01694915254237288,2.369232874563484
aqn41wM,-0.25925925925925924,3.214158834990062
apGKQMM,-0.07142857142857142,3.8435300089828455
amvq7qv,0.037037037037037035,3.3483079177417827
aLw6j2v,-0.2191780821917808,3.388745597021346
a3wvKB8,0.140625,3.9168389762087306
a2WE43w,-0.06451612903225806,3.0468426243791202
aj9QEXG,0.0,3.445116615596991
aQd63eK,0.2857142857142857,2.9385003275988577
