id,very_negative,negative,neutral,positive,very_positive
aAeB88o,8.0000,59.0000,29.0000,3.0000,1.0000
aXgZy6v,18.0000,38.5000,32.0000,10.0000,2.0000
aGdKmm5,2.0000,14.6000,54.2000,25.2000,3.8000
a1Wpy52,5.6667,32.1667,32.3333,26.6667,2.8333
a0NvrBn,2.0000,35.0000,59.0000,3.0000,0.0000
aWxBrzx,13.5000,44.2500,35.2500,5.5000,1.7500
ax9ELLM,8.4000,38.8000,37.8000,12.4000,2.2000
awBNEP4,9.5000,48.2500,20.5000,18.0000,4.0000
aYyj39q,6.8000,37.1000,34.6000,17.8000,3.6000
ax9EL5Y,2.4545,13.1818,69.0909,12.8182,2.3636
aoPmv2g,6.0000,68.0000,24.0000,1.0000,0.0000
a0Nvrqv,2.0000,12.5000,58.5000,23.5000,3.0000
agArDzg,10.8000,28.0000,51.8000,7.6000,1.6000
a9njx06,3.0000,27.0000,51.0000,16.5000,2.0000
aAeB8jo,7.0000,25.6667,52.3333,12.5000,2.3333
aNgm7Ew,2.0000,22.5000,65.0000,9.0000,1.0000
aQd6LG8,1.0000,7.0000,56.3333,30.0000,5.6667
azm7Wjp,2.8182,24.8182,38.5455,25.2727,8.2727
aK74QRZ,8.7143,44.8571,31.8571,11.2857,3.5714
aO7oMwD,4.7273,23.6364,54.9091,14.3636,2.4545
avz2MNZ,5.0000,28.8000,50.6000,13.4000,2.0000
a1Wpy98,3.2857,20.7143,49.4286,21.5714,5.0000
a43pXDd,7.1176,31.8235,35.8824,22.0882,3.2059
a0Nvr2n,5.0000,25.1000,31.3000,25.3000,13.4000
aR76WZA,22.5000,32.5000,23.0000,19.0000,3.5000
aR76bDj,1.5000,8.5000,72.5000,14.5000,2.0000
amvqejX,6.2308,34.0769,44.1154,13.2692,2.1538
aMxeoMR,6.3571,34.1429,43.9286,13.2857,2.2857
aQd6L08,5.5000,23.8333,39.0000,25.6667,5.8333
aO7oMXD,3.6000,28.6000,36.7000,25.2000,5.8000
azm7Dpx,3.9167,29.3333,44.6667,18.0833,4.1667
aD4RKEK,3.8571,18.2857,42.8571,27.5714,7.4286
aMxeo3A,23.7500,39.2500,34.5000,1.2500,1.2500
awBNEG4,1.0000,26.0000,68.0000,4.0000,0.0000
agArDPK,3.0000,24.0000,35.5000,31.0000,6.5000
aK74QoW,1.5000,14.0000,69.0000,13.5000,1.5000
a8GdRNY,6.0000,34.3333,44.6667,13.0000,1.6667
aR76bMB,2.0000,12.5000,70.5000,13.5000,2.0000
aQd6Bdq,3.5000,21.6667,48.1667,23.1667,3.5000
ayeEbj8,2.0000,8.2500,36.5000,45.2500,8.0000
a6Kr0ve,2.0000,15.0000,69.0000,14.0000,1.0000
a7Wvnpe,3.5714,25.7143,60.5000,8.6429,1.2143
adVyrXD,3.0000,16.3333,57.3333,19.0000,3.6667
abG3NnX,16.5000,53.0000,26.0000,2.5000,1.0000
aZyq6Gp,6.2500,30.3333,43.0833,17.9167,2.3333
a3wv69e,14.5000,44.5000,25.5000,12.0000,3.5000
aAeB850,2.2000,19.0000,60.2000,16.4000,2.2000
aqn4P3Y,3.5455,23.0000,44.5455,25.4545,3.0909
aGdKmW5,4.6667,30.0000,52.3333,11.3333,1.6667
aoPmvr3,9.5000,36.0000,50.5000,3.0000,1.0000
abG3N9r,7.5000,33.8125,40.4375,15.3125,2.8125
aO7oMgE,3.8333,17.8333,50.7500,19.5000,7.5833
aBm9M6Q,3.8333,21.6667,51.6667,19.1667,3.5000
aBm9jZZ,6.8667,28.8000,38.4000,20.6667,5.2000
avz24rn,5.0909,30.5455,48.7273,12.6364,2.7273
aVwjpGP,5.0000,51.0000,35.0000,7.0000,2.0000
aWxBr3Z,2.1818,12.1818,62.4545,19.2727,3.6364
aWxBrK2,3.8333,21.5000,32.6667,35.6667,6.0000
a5WpOmL,9.1429,38.2857,29.5714,18.4286,4.7143
azm7W6q,4.8000,32.6000,49.3000,11.2000,1.6000
aBm9ApD,5.6667,23.6667,67.3333,2.0000,0.3333
arV1QPd,4.0000,27.3333,41.0000,20.3333,7.1667
an4e8bb,5.1500,23.1750,45.7500,21.6750,4.2000
aQd6Lwz,6.0000,35.0000,28.0000,26.0000,5.0000
azm7WNq,4.0000,26.4167,43.2500,23.5000,2.8333
a2WE3QE,11.5714,48.4286,31.8571,7.0000,1.5714
adVyGmM,6.4615,36.8462,41.8462,11.8462,2.8462
a1Wpyob,9.3750,39.8750,41.8750,7.2500,1.5000
aQd63eK,2.9286,17.7143,34.8571,37.0000,7.5000
aVwjp5w,3.5000,17.0000,25.7500,46.5000,6.7500
avz2Mb5,0.0000,1.0000,5.0000,75.0000,19.0000
aR76bxq,3.6667,31.0000,58.0000,6.0000,1.0000
aVwjK8w,6.9400,29.4200,39.8000,19.3600,4.3600
aGdKXKw,3.5882,27.1765,51.1765,16.3529,2.0000
a2WE3e9,1.0000,1.0000,8.0000,72.0000,18.0000
a8GdZd6,4.0000,30.2500,48.5000,14.8750,2.6250
aVwjAjP,4.2000,25.2000,36.4000,28.4000,5.8000
aGdKmX5,2.7143,20.7143,63.2857,11.5714,2.0000
a1Wpq8w,4.3000,24.1000,43.9000,22.5000,5.0000
aD4RyRG,3.2000,18.4000,48.0000,27.6000,2.8000
aR76nwA,6.0909,24.5455,47.6364,16.5455,5.0000
aoPmvB3,1.0000,3.0000,8.0000,74.5000,13.0000
aD4RKLw,3.7273,21.9091,58.3636,13.8182,2.0909
a2WEezZ,5.9412,27.0588,48.4118,13.7059,5.0588
a9njobm,7.5000,39.6333,41.6333,9.5000,1.7667
azm7ngK,12.0000,35.5000,43.5000,7.5000,1.5000
a7WvQvm,10.0000,46.5000,32.5000,8.5000,2.5000
agArW3q,0.5000,1.5000,49.5000,44.5000,3.5000
azm7W5q,7.4000,36.0000,33.8000,17.4000,5.0000
aP76g4Q,4.0400,26.2400,45.6000,20.4000,3.7200
ayeEbPp,2.0000,18.6000,61.2000,15.8000,2.0000
aeDKLjm,1.3333,10.6667,52.0000,32.6667,3.3333
ax9En8b,4.0769,24.0000,48.9231,19.5385,3.4615
aZyq69n,5.0000,33.5000,29.0000,26.0000,6.5000
aO7ovPE,5.1111,34.8519,38.6667,17.1852,4.1111
a1WpyxP,6.3333,35.6667,40.3333,14.0000,4.0000
a8GdRrp,1.0000,5.2500,61.7500,28.2500,3.7500
a0Nvrmq,4.2000,21.0000,33.8000,23.6000,17.2000
aeDKPGW,7.6111,38.7222,26.8333,21.5000,5.1667
aNgm7p3,3.6667,22.6667,69.3333,3.3333,0.6667
aqn4pej,9.3333,44.3333,38.0000,6.0000,2.0000
ax9ER6b,3.7442,19.3953,36.8140,31.3488,8.6279
aqn4AzM,7.2500,28.2500,44.7500,16.6667,3.0000
aYyj9Nw,5.2500,36.2500,49.7500,7.5000,1.2500
aqn4BvM,5.0000,28.4286,46.7143,16.0000,3.4286
agArWyq,3.0500,21.1500,57.5500,15.6500,2.6000
a1Wp9AR,2.6667,16.6667,63.5000,15.0000,2.3333
aEPd3vK,4.2609,22.3913,41.5652,26.3913,5.2174
a2WEeNZ,3.0000,23.2000,62.0000,10.4000,1.4000
aD4RN4O,6.2500,36.8125,41.7500,12.9375,2.1250
a8GdZdp,7.3333,37.0000,42.0000,11.0000,2.3333
awBNEDW,1.6667,8.0000,70.0000,17.0000,2.6667
a9njodm,3.2500,20.0000,42.5000,29.0000,5.0000
azm7n7K,3.5556,23.0000,34.7778,31.4444,7.3333
avz2N0d,6.3000,35.4000,40.8000,15.4000,2.3000
abG3LWO,4.6667,31.3333,37.0000,23.3333,3.3333
aMxeopP,3.0000,21.2500,59.7500,14.0000,2.0000
aBm9pKz,4.6000,26.8000,56.8000,10.6000,0.8000
abG3erO,6.1379,31.4138,45.1724,14.9310,2.4138
aD4Ry0N,5.8636,29.7727,42.8636,18.4545,3.1818
aLw6ZYA,4.5000,27.7500,49.5000,15.0000,2.7500
aK74p8b,3.7143,25.1429,52.4286,15.8571,3.1429
aMxegb1,9.0000,40.2500,31.7500,13.7500,5.2500
aGdKXV7,5.4000,24.2000,49.2000,18.0000,3.4000
aD4Ry07,1.5000,13.0000,69.0000,14.5000,1.5000
aO7oAnR,4.5556,26.1667,50.2778,15.8889,3.2222
aXgZB0b,5.3636,34.0000,41.8182,16.3636,2.3636
aWxBz06,4.2667,26.4667,48.1333,18.2667,3.0667
aAeBjBE,3.6429,28.9286,45.6429,19.0000,2.7143
aXgZBEg,5.7500,33.7500,35.5833,20.0000,5.2500
aVwjpqO,6.7500,35.9167,46.0833,9.7500,1.5000
aqn409P,5.7778,27.3889,37.3889,23.3889,5.9444
aeDKB9v,6.2222,22.7778,60.7778,9.0000,0.8889
apGKOKW,5.5000,36.0000,45.0000,12.7500,1.0000
a6Kr0Yb,1.0000,6.0000,64.0000,27.0000,2.0000
an4emj5,5.0000,18.0000,22.0000,40.0000,14.0000
aXgZBpg,1.0000,8.0000,55.0000,34.0000,2.0000
arV1Y45,10.0000,57.5000,29.0000,2.5000,0.5000
aWxBN9d,3.2222,19.7778,43.0000,28.8889,5.1111
aVwjpdK,2.5000,25.5000,66.0000,6.0000,0.5000
amvqbzd,7.5000,27.4375,40.4375,19.5000,4.8125
a9njx3K,4.5000,40.5000,50.0000,5.0000,0.5000
aeDKLKm,2.0000,18.0000,69.0000,10.0000,1.0000
ayeEG0X,3.0000,22.5000,58.0000,15.5000,1.0000
aeDKL0B,3.4286,28.0714,42.1429,21.5000,4.7143
aXgZ38z,4.3750,28.8750,39.2500,24.0000,3.5000
aAeB8XR,1.0000,10.5000,37.0000,43.0000,8.0000
ax9E52W,1.5000,8.0000,67.5000,20.5000,2.5000
aP765yK,2.2857,13.1429,39.8571,33.1429,11.8571
amvq304,5.1667,24.1667,40.6667,26.1667,3.5000
aVwjAWn,7.2000,40.6000,38.0000,11.6000,2.6000
aXgZBX2,5.1111,24.7778,48.1111,18.7778,2.7778
aLw6xPP,8.0000,38.0000,28.5000,20.0000,6.0000
a3wvmL8,4.2222,22.5926,44.2963,25.0000,3.9630
a9njoPL,4.8750,33.1250,48.1250,12.0000,1.5000
aWxBdL4,3.7647,37.8235,45.6471,10.0588,2.5882
a9njoM0,1.0000,9.0000,70.0000,18.0000,1.5000
aNgmNov,1.0000,9.0000,80.0000,10.0000,1.0000
a7WvQbw,3.0000,50.0000,45.0000,2.0000,0.0000
agArW01,10.1000,51.3000,34.0000,3.6000,1.0000
abG370v,3.5714,23.5000,61.9286,9.8571,1.2857
aAeB8q9,5.6667,31.6667,45.3333,14.6667,3.0000
aoPmXje,2.3333,13.3333,57.3333,23.0000,3.6667
azm7nEz,10.0000,35.7500,21.2500,23.5000,9.5000
aVwjpy2,4.0000,17.0000,63.3333,14.6667,1.3333
aGdKmvZ,2.0000,9.7500,40.2500,40.5000,7.2500
aNgmNZv,3.1333,16.8667,44.7000,27.7333,7.5333
aEPd3zp,2.1000,16.6000,68.9000,10.8000,1.4000
a8GdR5V,7.0000,53.0000,35.5000,4.5000,1.0000
aGdKXD0,5.0000,28.8182,43.4545,19.0909,4.0000
aBm9p1Q,8.2000,41.0000,42.8000,6.4000,1.8000
aAeBmER,6.1364,30.5455,37.6818,21.0455,4.5000
aR76nVy,6.1667,32.1667,47.3333,11.6667,2.6667
aBm9p12,3.8750,25.6250,43.6250,22.1250,4.7500
aLw6x9W,9.8333,26.1667,54.6667,7.6667,1.5000
apGKOBD,2.7500,15.5000,49.0000,25.0000,7.5000
a9njoYL,5.1818,29.1818,49.4545,14.0000,2.1818
a3wvm3Q,6.5556,22.6667,32.6667,28.7778,9.3333
aeDKL6Q,6.9000,29.3000,40.1000,19.2000,4.6000
aj9Qp0q,2.4000,16.8000,61.2000,17.5000,2.0000
a0NvBjB,6.8000,29.6500,38.0500,20.6000,4.8000
aZyqoD0,4.1429,22.4286,43.5714,25.1429,4.8571
aqn405R,10.5000,33.7857,36.3571,17.0714,2.5714
aeDKnwO,4.0000,27.2143,48.7143,17.8571,2.3571
aQd6y0q,6.0000,36.2500,47.0000,9.2500,1.7500
a1Wp9M6,5.0000,40.3333,43.3333,9.6667,1.3333
a6Kr3nm,3.4615,18.7692,34.6154,30.2308,12.8462
aR76ne5,8.3333,41.3333,35.6667,11.5000,2.8333
a6KrPQR,6.7143,38.7143,44.0000,8.8571,1.7143
aO7oMRM,8.3333,37.0000,28.3333,20.0000,5.6667
aVwjpEv,5.0000,25.0000,31.0000,34.0000,5.0000
aNgmNKG,5.8182,27.4545,41.6364,21.1818,4.0909
azm7VDj,4.6250,25.3542,47.7708,18.4167,3.7917
a5Wp4ZN,3.6000,28.0000,30.6000,29.0000,8.4000
avz2NnW,4.8000,23.0000,44.0000,24.8000,3.8000
a3wv628,0.0000,0.0000,100.0000,0.0000,0.0000
a7WvG8L,6.6471,35.5882,42.6471,12.4706,2.4118
aqn40Lp,5.3333,25.5000,48.1667,15.3333,5.5000
amvq3zo,4.3333,23.3333,48.0000,21.0000,3.6667
a7WvQZ2,8.3333,57.6667,27.6667,4.6667,1.3333
a7WvRDr,3.0000,14.0000,63.0000,15.0000,4.0000
azm7nbz,3.8148,23.1852,46.5185,22.8889,3.5926
agArWqr,1.8000,11.4000,64.0000,20.6000,2.4000
aVwjxbK,5.1084,24.5904,45.7952,20.1325,4.2410
an4e6bb,1.5000,7.0000,81.5000,7.5000,2.0000
a9njor1,4.4118,28.0588,53.4118,12.1765,1.9412
aMxegwX,7.2857,48.7143,30.2857,11.5714,2.0000
aVwjAqK,3.1250,18.2500,64.2500,12.1250,2.1250
aj9Qp6q,6.0000,37.0000,45.5000,9.0000,2.5000
a9njo7L,9.7500,48.2500,27.1250,10.8750,3.6250
avz2NGW,3.5000,26.2143,49.4286,18.6429,2.2857
aAeBLbg,5.6364,27.3636,38.0909,24.7273,4.0909
aP765BV,5.8750,45.1250,33.8750,12.3750,2.5000
aeDKLbQ,5.2857,26.5714,45.3929,18.8571,3.9286
aLw6NQW,4.6667,31.0000,45.6667,15.0000,3.3333
ayeEG8r,2.5000,15.0000,56.5000,22.0000,3.0000
aEPd3Y9,4.3333,24.6667,36.3333,30.0000,4.3333
aZyq6pW,5.0000,6.0000,2.0000,28.0000,60.0000
aO7owrv,3.7500,26.7500,42.5000,21.0000,5.7500
arV1Y5p,17.3333,45.6667,30.6667,4.6667,2.3333
aqn401v,10.4348,24.9130,36.0435,21.7826,6.8261
aO7owBv,1.5556,17.0000,72.0000,8.8889,0.8889
aD4RyzZ,1.0000,10.0000,75.0000,13.0000,2.0000
amvq7qv,4.6923,22.6538,41.1923,21.8846,9.3846
abG37z9,4.0000,24.8000,51.7500,16.9500,2.4500
avz2NOX,6.0000,34.0000,40.0000,16.0000,4.0000
aD4RyWx,3.6000,20.2000,65.6000,9.8000,1.0000
aK74RD1,3.5000,22.3750,51.6250,19.1250,3.1250
a7WvQ3b,4.1923,24.8462,38.2692,24.1154,8.5000
aj9Qp88,24.8000,55.6000,16.2000,2.2000,1.0000
aj9QpDG,5.4118,25.0000,44.4706,21.6471,3.2941
a2WEeo1,5.6154,31.0769,42.1538,18.1538,3.1538
awBNEz8,6.0000,25.0000,23.0000,40.3333,5.6667
aAeBjx9,4.0000,27.0000,52.6667,12.6667,3.0000
aLw6xBv,4.7500,35.2500,48.5000,9.5000,1.7500
ax9E5ZW,2.0000,6.0000,15.0000,55.0000,21.0000
aP762WB,3.0000,22.5000,66.5000,6.5000,1.5000
aP76bpQ,17.5000,63.0000,11.0000,7.0000,2.5000
aBm9p0A,7.0000,25.0000,45.3333,21.0000,2.0000
aD4Ryx9,5.5000,25.7500,33.7500,30.1250,5.0000
aLw6xgM,1.8000,8.4000,50.8000,33.6000,4.6000
aLw6x0M,3.6444,22.7111,56.4222,15.0444,2.0444
azm7n8Z,2.7143,20.0000,35.1429,35.5714,6.5714
amvq3Bj,2.9231,17.2308,51.3846,21.9231,6.4615
aP7659V,3.2222,23.3333,56.5556,14.8889,1.8889
avz2NgM,1.3333,10.0000,74.0000,13.0000,1.6667
aBm9pxA,6.4211,26.5789,43.6316,19.7368,3.7368
ayeEGBM,2.0000,19.5000,66.0000,11.0000,1.5000
an4emmE,6.0000,57.0000,33.0000,3.0000,1.0000
aZyqe7W,2.5000,18.5000,56.3333,17.3333,4.8333
a3wvp0v,4.0000,23.5000,55.5000,15.0000,2.5000
aGdKXg6,5.7500,44.7500,43.0000,5.0000,1.2500
ax9E5zb,17.0000,57.0000,16.5000,5.0000,3.0000
amvq32d,2.0000,15.0000,51.5000,26.0000,6.0000
ax9EnD1,1.5000,10.5000,43.5000,27.6667,16.5000
a9njoKo,3.5909,25.5455,52.2273,16.0909,2.5455
aAeBjD2,3.0000,43.0000,52.5000,1.0000,0.0000
a43pXq6,5.6667,34.7778,46.4444,11.1111,1.8889
aP7657R,8.7778,40.2222,34.2222,13.5556,3.2222
a7Wvmeb,9.1000,29.5000,46.6000,12.0000,2.8000
amvq3v2,8.8000,45.4000,35.8000,7.6000,2.2000
aoPmXPg,7.0000,42.5294,42.4706,6.4706,1.4118
avz2Nob,4.3913,25.0000,53.1739,14.3478,2.8696
aGdKmdG,9.7500,33.0000,29.5000,21.2500,6.7500
aeDKLDb,4.0000,45.0000,36.0000,14.0000,1.0000
aEPd3PM,7.5000,32.0000,38.0000,19.2500,3.5000
aVwjA08,9.1667,33.3333,30.3333,20.1667,7.1667
aAeBjep,5.0000,37.6667,40.6667,13.3333,2.6667
a5Wp6RN,5.1579,27.4211,49.8421,15.0000,2.5789
aGdKXpK,6.0909,35.4545,41.8182,13.9091,2.9091
adVyEVZ,3.2000,23.8000,63.8000,7.8000,1.4000
a9njoRo,5.5000,28.0000,14.5000,34.5000,17.5000
a8GdZGY,6.1429,22.2857,53.0000,15.5714,2.7143
a9njoEW,6.0588,31.1471,46.9412,12.9412,2.8529
aAeBjx2,3.6000,31.4000,44.8000,14.8000,5.2000
a9njeGj,6.5714,33.8571,45.4286,11.7143,2.2857
avz2N5O,6.0000,27.1250,43.3750,19.0000,4.5000
ayeEGMY,8.2500,23.7500,35.0000,28.2500,4.0000
aMxegxV,4.0000,39.0000,49.5000,7.0000,1.0000
a43pv3Q,13.1000,43.9000,32.6000,7.7000,2.8000
abG37VO,4.8000,28.5000,43.9000,19.0000,3.5000
aWxBzW6,4.6923,31.6154,46.6923,13.9231,2.9231
aAeBjGp,8.0000,29.2941,48.2941,11.8824,2.3529
a5Wp4PG,5.5714,28.5714,51.5714,11.5714,2.5714
aP7653R,3.8000,27.8000,55.0000,10.8000,2.6000
aGdKXzK,2.2105,17.7895,64.3684,13.7368,1.7368
an4e6g5,3.4286,23.8571,51.5714,18.4286,2.4286
agArWAw,2.4286,13.1429,54.4286,25.1429,4.7143
amvq37j,2.4000,18.2000,52.0000,24.2000,3.2000
aGdKXzZ,2.7000,15.0000,61.5000,17.1000,3.2000
a3wvmEN,10.1250,46.8750,30.6250,9.8750,2.5000
a5Wp4EO,5.3846,30.3077,49.7692,11.9231,2.4615
aD4RyDw,5.5556,31.4444,48.8889,11.8889,2.1111
a1Wp9rG,2.5000,19.0000,65.7500,11.5000,1.5000
aNgmNdr,3.2500,21.5000,68.2500,5.7500,1.0000
awBNwBW,1.5000,13.0000,75.0000,10.5000,1.0000
aNgmNgb,4.2000,27.4000,42.4000,22.0000,4.0000
aMxeg4W,4.2000,40.0000,51.6000,3.4000,0.8000
a7WvQ1A,4.1667,33.6667,54.3333,6.3333,1.1667
aK74R6b,7.4706,31.3529,50.1176,9.1176,1.8824
arV1XzV,3.2667,21.7000,52.1000,19.5000,3.2333
a5Wp4Mq,10.0000,47.5000,33.0000,7.5000,2.0000
aYyj9YO,3.8750,20.5000,49.1250,18.1250,8.0000
aeDKngj,5.0000,32.0000,44.0000,16.0000,3.0000
aR76nEQ,5.6667,33.6667,43.5000,13.0833,4.2500
avz2XAq,7.8000,32.4000,26.0000,28.4000,5.6000
aP761DV,5.3590,28.5641,48.5897,14.6923,2.6410
ayeEG9b,5.8426,25.3333,41.4167,22.2593,5.1111
agArDZx,2.8571,23.7143,57.2857,14.2857,1.5714
aVwjAbw,7.3529,34.2941,41.5294,14.1765,2.7059
aYyj9VN,5.5333,30.8667,41.8667,16.6000,5.1333
aR76ngB,7.6667,46.3333,26.0000,16.6667,3.6667
aP763ZQ,4.4490,27.5306,47.8163,17.4286,2.4898
aoPmXMg,2.2500,16.5000,51.5000,25.0000,4.2500
aO7ow3N,5.5000,35.0000,41.5833,15.6667,2.4167
aMxegZG,6.5000,43.0000,42.0000,7.0000,2.0000
apGKO9M,10.3333,39.6667,42.0000,6.5000,1.5000
aqn40nQ,7.2500,25.7500,50.0000,15.5000,2.5000
a5Wp4Xr,4.0000,22.1364,52.2727,18.0000,3.2727
ayeEG7y,4.5000,27.5000,33.5000,32.0000,3.0000
aD4Ry2d,4.6000,32.8000,34.6000,18.8000,8.6000
amvq3g6,10.8000,43.6000,29.8000,12.2000,3.4000
ayeEbzp,4.7143,23.7143,28.2857,32.5714,10.8571
adVyEB9,8.1538,33.7308,42.2692,13.0000,2.8462
avz2NyE,4.8000,26.8000,38.4000,20.4000,9.4000
an4e6z5,7.5000,34.1000,44.2000,11.7000,2.2000
a43pvPy,6.0000,46.0000,29.0000,15.5000,3.5000
a3wvmZm,7.2000,22.8000,23.6000,39.0000,7.2000
azm7WZb,11.0000,58.0000,23.0000,6.0000,2.0000
a43pvoA,5.0000,19.3333,62.6667,10.6667,2.3333
aoPmq0x,5.2500,18.7500,46.3750,22.2500,7.3750
a2WEevd,2.6000,19.2000,68.8000,8.6000,1.2000
a7WvQoz,3.0000,22.0000,64.0000,9.0000,1.0000
aVwjAg2,11.0000,36.6667,24.5556,22.1111,5.6667
aBm9pyN,4.5000,24.5000,65.5000,4.5000,1.0000
a6KrPqA,5.6667,30.6667,41.6667,18.3333,3.6667
a9njozZ,5.7826,34.1739,40.6087,15.3913,4.0435
agArznW,2.5000,18.8333,42.0000,27.6667,9.0000
aK74R1W,5.4000,39.6000,42.6000,10.4000,2.0000
a8GdZ71,8.2000,33.7000,43.7000,12.7000,2.2000
azm7n5B,5.5000,26.2000,42.0000,23.7000,2.6000
aeDKL4q,4.7500,33.7500,48.0000,11.2500,2.2500
aVwjmXM,3.9706,26.0294,49.0882,17.5588,3.2941
azm7nXp,4.2857,24.3571,47.8571,19.0536,4.1786
aAeBjQZ,1.8889,16.8889,63.6667,16.4444,1.0000
an4e64q,5.0000,33.8333,40.8333,16.5000,3.6667
azm7oAb,6.0833,27.5000,37.4167,25.5000,3.1667
avz2NWq,11.2500,45.0000,24.7500,16.0000,3.5000
azm7nXZ,0.0000,0.3333,76.0000,19.6667,3.0000
a0NvBoQ,3.0000,27.0000,33.0000,34.5000,2.0000
aK74RGj,4.7143,26.5714,47.7143,18.5714,2.2857
a1Wpymv,6.5000,34.5000,50.5000,7.0000,2.0000
a7WvQDx,8.0000,79.0000,12.0000,0.0000,0.0000
apGKnRE,5.5714,32.2857,29.2857,28.1429,4.8571
an4e6Ro,1.5000,12.0000,67.5000,17.5000,1.0000
agArW1g,9.1429,35.4286,45.0000,8.5714,1.7143
ax9E5WM,5.0000,28.5714,39.7143,12.1429,14.1429
aWxBz7Z,3.2000,28.2000,60.6000,6.8000,1.0000
a43pvzd,5.0000,30.3750,41.7500,15.7500,7.0000
a9njovj,2.6667,14.3333,37.0000,40.3333,6.3333
ayeEmLy,4.5455,30.3636,48.0000,14.2727,2.3636
avz2AeO,5.4583,29.2917,40.4167,19.0417,5.7083
aYyjdYq,8.1111,25.3333,42.0000,21.1111,3.3333
aWxBzLx,2.8750,17.3125,43.8750,21.2500,14.5000
agArWQg,5.7500,29.7500,46.0000,15.2500,3.2500
ayeEG4q,3.6667,31.6667,46.0000,16.3333,2.0000
aR76n47,4.0000,23.0000,65.5000,6.0000,1.5000
aD4Re6x,2.7500,24.0000,58.5000,12.7500,1.5000
azm7ndN,4.6250,28.3750,44.1250,20.3750,2.6250
a7WvQ8z,3.6667,27.0000,50.3333,15.8333,2.8333
a7Wv69L,5.0000,24.7143,58.4286,9.1429,1.8571
aMxegmA,3.0000,17.3333,66.5000,11.8333,1.5000
avz2NQE,5.9375,35.0000,42.2500,14.0000,2.6250
aD4RynK,5.3913,28.3043,42.5652,19.4348,4.0435
arV1YAy,5.7143,36.8571,37.2857,16.8571,3.1429
aAeBj6Z,4.5625,26.2500,36.3125,28.4375,4.5000
apGK7AD,1.0000,5.0000,54.5000,37.5000,2.5000
aAeB83Z,2.0000,21.0000,68.0000,8.0000,1.0000
aVwjAEy,3.0000,19.5000,59.0000,16.0000,2.5000
aQd6Gx7,4.0000,13.0000,21.0000,52.0000,11.0000
an4e6no,5.0000,27.7500,38.5000,23.0000,6.0000
aP765oG,2.6667,19.0667,51.1333,23.5333,3.6000
agArWov,4.5000,35.5000,52.0000,6.5000,1.0000
amvq36X,6.6471,27.4706,41.3529,19.7059,4.7059
a8GdQKp,5.1111,33.0000,42.7778,14.8889,4.0000
adVyEvQ,5.5556,31.0000,45.6667,13.7778,4.0000
arV1YWK,4.5000,31.0000,47.5000,14.5000,2.5000
aR76nZ2,4.3333,26.3333,33.0000,30.6667,6.3333
arV105y,5.2000,38.8000,49.6000,5.2000,1.2000
aVwjdq2,1.5000,13.0000,66.7500,16.7500,1.7500
aNgmNQ3,2.0000,43.0000,53.0000,2.0000,0.0000
avz2NeZ,2.2000,12.6000,62.2000,20.0000,2.8000
a3wvm1m,2.5000,12.0000,40.2500,34.2500,11.0000
adVyGWZ,2.8000,20.6000,54.6000,19.0000,2.8000
a0NvBXQ,6.2500,17.2500,43.5000,27.5000,5.0000
a43pvNd,5.5556,31.4444,39.0000,20.2222,3.6667
a8GdZ8e,6.0000,44.0000,37.0000,11.0000,2.0000
aLw6xMW,7.0000,35.5000,37.2500,17.5000,2.7500
a3wvxem,8.7143,36.5714,39.8571,12.7143,1.7143
an4e62o,3.1429,23.0000,57.5714,14.0000,2.2857
avz2N1q,4.0000,20.5000,54.2500,18.2500,3.0000
an4eWdn,5.6667,36.6667,35.0000,19.3333,2.6667
adVydgV,2.8333,17.9167,55.0000,21.0000,3.1667
a9nj4oL,2.6667,17.1111,67.4444,10.8889,1.8889
aQd6GAz,4.0769,28.0769,51.4615,14.1538,2.0769
aLw6bv5,3.8000,25.2000,47.6000,19.2000,4.1000
ax9E56Y,7.6000,45.4000,38.6000,7.0000,2.0000
a1Wpx72,7.7778,35.7778,39.3333,10.6667,5.8889
aGdKm87,1.0000,12.5000,85.0000,1.5000,0.0000
aEPd3oo,2.0000,12.0000,50.0000,32.0000,4.0000
aGdKXGw,6.2778,36.5000,43.8333,11.3333,1.8333
aBm9p6N,7.0000,60.0000,26.0000,6.0000,1.0000
aVwjAZP,8.8571,33.8571,39.1429,14.4286,3.4286
aGdKvvK,4.5000,28.5000,36.6250,26.7500,3.3750
aAeBZzL,5.0000,23.6250,32.7500,35.2500,3.0000
a9njo8K,1.0000,11.0000,87.0000,2.0000,0.0000
a43pXZQ,5.3000,28.1000,35.1000,24.7000,6.7000
avz2Nx5,2.2500,13.7500,48.2500,30.5000,5.0000
a7WvQ0r,2.0000,14.0000,47.0000,34.0000,3.0000
a1Wp908,8.1667,42.3333,30.5000,15.8333,3.3333
agArWBw,3.0000,14.0000,63.0000,15.0000,4.0000
aeDKLMW,7.5000,52.5000,33.5000,5.5000,1.0000
ayeEGWV,6.2500,36.8333,40.7500,13.0833,3.5000
aXgZB7z,5.0000,30.3333,34.6667,24.6667,5.6667
aAeBjKo,2.0000,19.6667,68.3333,8.6667,1.3333
aBm9pEx,4.0000,26.0000,40.2500,26.2500,4.2500
aZyqeEn,7.8667,35.2667,43.8667,11.2667,2.0000
a1Wp9ND,1.0000,2.0000,42.0000,50.0000,5.0000
