id,very_negative,negative,neutral,positive,very_positive
amvqe22,1.0000,13.0000,83.0000,3.0000,0.0000
avz2MQ5,4.1875,26.7500,45.7500,15.9375,7.3750
a3wv6Ze,4.8000,18.6000,53.0000,17.8000,5.0000
aLw6Zw6,9.8000,35.0000,13.0000,23.0000,19.6000
awBNE7B,8.0000,44.0000,22.0000,21.0000,5.0000
arV1zNd,11.0000,32.8889,43.0000,9.8889,3.0000
aXgZyjv,0.5000,3.0000,74.0000,20.5000,1.5000
aO7oMxE,8.4000,30.9000,33.4000,23.7000,3.6000
aYyj3V0,3.0000,18.4286,63.2857,12.7143,2.2857
apGK4R8,7.0000,45.5000,42.0000,5.0000,1.0000
aYyj3eO,1.0000,2.0000,12.0000,65.0000,20.0000
aAeB8eo,7.0000,41.5000,30.5000,17.0000,3.5000
aLw6ZnA,3.0000,20.5000,69.5000,6.5000,1.0000
an4em7B,4.5556,27.2222,51.8889,14.0000,2.4444
aYyjbQq,5.0513,32.3077,46.3590,13.7949,2.3846
arV1776,3.0000,37.0000,43.0000,15.0000,2.0000
aYyjX6q,7.5000,46.7500,32.5000,11.2500,1.7500
a7WvYoe,2.2632,24.8947,45.5789,23.9474,3.1579
a3wv64e,5.0000,31.7500,47.5000,13.2500,2.5000
aAeBzeE,2.0000,21.0000,62.0000,14.0000,1.5000
aP76Egg,6.6154,43.5385,35.6154,12.0769,2.1538
agArZzv,2.7500,15.2500,60.7500,17.0000,4.0000
aQd6LEz,1.3333,13.6667,80.0000,4.3333,0.3333
a3wvDW1,5.4286,27.8571,56.7143,8.0000,1.7143
avz2V5d,2.6667,22.0000,60.3333,12.3333,2.0000
aoPmQ5A,1.0000,4.0000,47.0000,37.0000,10.0000
aMxeoVP,3.3333,18.0000,47.6667,26.3333,4.3333
a9njxzK,5.2000,41.8000,43.8000,7.6000,1.2000
avz2BVd,3.6000,23.2000,57.6000,12.8000,2.4000
azm7oWp,5.7500,31.0000,35.7500,23.2500,4.2500
a1Wpy7v,3.7500,29.5625,48.8750,15.5000,2.2500
aGdKmp5,3.2500,21.9167,58.2500,14.4167,2.1667
azm7W5K,4.2500,22.7500,33.0000,35.0000,5.2500
aQd6Lzz,15.0000,44.0000,24.6667,13.6667,3.0000
abG3NVr,2.0000,13.0000,59.0000,22.0000,3.0000
aeDKnAj,2.2500,18.0000,63.2500,15.2500,0.7500
a5WpO6o,5.8889,41.1111,43.3333,8.3333,1.7778
aBm9BzD,15.0000,69.0000,13.0000,2.0000,1.0000
aoPmv3A,6.8000,35.6000,42.4000,13.5000,2.1000
avz2M1d,4.5000,26.2500,45.0000,19.0000,5.2500
a6Kr0Ze,4.6667,36.0000,45.0000,12.3333,2.0000
ax9E4eL,5.2917,28.3333,41.5833,20.7500,4.0417
aAeB8Qd,5.0909,29.1364,48.2727,14.8636,2.3182
apGK43W,5.6000,26.2000,49.0000,16.4000,2.6000
aXgZyNb,1.0000,9.7500,73.2500,14.2500,1.2500
aAeB8Rg,25.0000,68.0000,7.0000,0.0000,0.0000
aqn4gZQ,9.9787,41.9787,29.5319,15.2340,3.4681
aWxBrp3,1.2500,7.5000,71.2500,16.7500,2.7500
avz2Med,5.4737,31.3158,50.0526,11.5263,1.7895
a2WEGDe,3.8125,21.5000,51.4688,20.4063,2.8438
aoPmqQn,6.2500,25.7500,57.2500,8.5000,1.7500
a2WE3Rw,3.2500,30.5000,51.2500,14.2500,1.2500
aZyqZmz,8.4000,34.4000,40.8000,12.6500,3.7000
amvqe1V,1.6000,10.8000,47.6000,34.2000,5.2000
aD4RK77,10.4000,40.2000,33.0000,14.0000,2.0000
aD4RKnN,6.0000,39.8333,38.3333,13.6667,2.6667
aWxB3qx,1.0000,4.0000,80.0000,10.0000,4.0000
aj9QzLq,5.7143,35.9524,44.4762,11.7143,2.4762
aQd64oe,3.6129,20.6129,52.8871,18.9677,3.7419
an4emnV,4.9333,30.3000,44.0000,17.9000,2.8333
aGdKb9Z,10.8462,40.6923,31.3077,14.7692,2.3077
arV1QX5,11.2500,36.5000,35.0000,15.2500,2.0000
aVwjyZK,6.1250,35.7500,37.8750,16.6250,3.5000
azm7WXx,4.3333,19.6667,46.3333,23.0000,6.6667
a0Nvr6Z,6.0000,27.6667,34.3333,29.3333,1.6667
aP76EoK,5.5000,33.7500,47.2500,11.0000,2.2500
aD4RK7G,3.5000,26.8333,54.0000,13.6667,1.6667
agArDgK,3.5000,19.0000,60.5000,13.0000,3.0000
a8Gd9QV,2.5000,13.7500,59.7500,20.7500,3.5000
agArDOq,2.7143,12.1429,40.7143,33.1429,11.4286
aXgZ6XD,1.0000,2.0000,12.0000,77.0000,8.0000
agArDAg,9.7857,28.0000,30.8571,25.0000,6.0714
aQd6Lvr,1.0000,9.0000,81.0000,8.0000,1.0000
aQd6L7w,19.0000,54.5000,17.5000,7.0000,2.0000
aGdKm8z,8.6667,34.0000,37.0000,16.0000,4.3333
aBm9ALz,12.0000,67.0000,17.0000,3.5000,1.0000
aR76bZA,4.2500,29.0000,50.5000,14.2500,1.7500
aqn4PXP,18.0000,60.0000,18.0000,2.0000,1.0000
a43pXNv,4.4286,23.7143,55.5714,13.4286,3.0000
a9njerZ,11.0000,43.3333,31.3333,11.6667,2.5000
avz2Mxn,6.5714,32.1429,46.1429,13.5714,1.8571
azm7WGz,3.0000,21.0000,44.4286,26.0000,5.1429
aBm9A6P,2.8333,19.8333,59.8333,15.0000,2.6667
apGK4Pp,3.7500,28.2500,55.0000,11.1667,1.7500
ayeEbWX,6.6410,33.8462,38.0769,17.8462,3.4872
aeDKnVB,2.0000,7.5000,32.5000,18.0000,40.0000
aGdKmM7,4.3571,26.8214,51.0714,15.6429,2.1071
a9njx2L,10.7500,31.1875,42.8750,11.6875,3.1875
aBm9AEQ,2.7143,17.0000,64.7143,13.7143,1.8571
aeDKnxp,2.8750,17.1250,52.0000,23.8750,4.1250
aLw6ZAv,5.4000,40.4000,37.8000,14.6000,1.6000
agArD81,5.0000,31.3333,42.3333,13.6667,7.6667
amvqeG4,3.0000,16.6667,53.3333,22.0000,4.6667
adVyRGB,3.7619,24.5238,50.9524,17.4286,3.4762
aWxBrb4,5.6875,28.3125,43.1250,15.5625,7.3125
azm7WRb,4.8000,27.6000,45.2667,17.4667,4.7333
ax9ELRn,9.0000,55.0000,31.0000,4.0000,1.0000
aXgZyW2,5.6667,17.3333,52.6667,15.3333,9.0000
aNgm74G,7.0000,30.4286,43.0000,13.7143,5.2857
aVwjpZn,3.9000,21.5000,45.0000,24.9000,4.7000
aBm9BEO,2.0000,17.5000,74.5000,5.0000,0.5000
ax9EL6W,5.1667,35.8333,42.5000,13.8333,2.8333
aD4RK8N,5.4231,27.3077,39.0000,22.5769,5.5385
aYyj3PV,4.7222,30.7222,42.1667,19.1667,3.0000
a8GdR0Q,7.2500,46.0000,36.2500,9.2500,1.2500
apGK46p,5.0870,28.1304,49.5652,14.3913,2.8696
a5Wpxmo,5.3333,29.0000,50.5000,12.8889,2.3889
aNgm7Qv,9.5000,40.2500,40.7500,7.5000,2.0000
a8Gd6R3,4.7045,24.7500,51.0227,17.0455,2.3636
a2WE319,2.0000,8.0000,25.0000,57.0000,8.3333
aD4RNDO,3.3636,16.4545,55.1818,19.4545,5.3636
a7WvYN2,2.0000,19.4286,60.8571,15.1429,2.2857
aBm9AGQ,5.0000,32.6250,40.6250,18.2500,3.2500
abG3NWb,5.6667,32.6667,47.3333,12.3333,2.0000
aQd6Lme,4.7857,26.6429,39.5000,25.4286,3.5714
aK74QGg,0.0000,0.0000,100.0000,0.0000,0.0000
aVwjp2M,5.6000,31.2000,36.4000,25.0000,2.0000
adVyG1V,7.2000,38.9500,41.4000,10.3500,2.2000
aMxeoXX,5.0000,24.0000,45.0000,21.0000,5.0000
aWxBdmZ,2.5000,15.7000,53.1000,25.5000,3.3000
aP76zeG,2.8889,15.5000,46.5556,26.0000,8.8333
aGdK6jn,3.8889,21.0000,52.0000,19.5556,3.0000
amvqKW6,3.0000,19.1111,55.2778,19.0000,3.6111
awBNEYr,4.5625,30.8750,52.3125,10.9375,1.1875
a8GdRpY,14.0000,63.0000,19.0000,3.0000,1.0000
abG3NQE,4.0000,31.6667,55.3333,8.3333,0.6667
aqn4PYp,6.1429,28.0714,50.0714,13.4286,2.2857
a2WE68Y,1.0000,9.0000,79.0000,8.0000,2.0000
aP76EXP,3.7073,26.6585,49.7805,17.2195,2.5366
aK748nO,4.0938,26.9375,54.0313,11.9063,3.0625
aeDKn2p,3.0000,18.0000,58.0000,18.0000,3.0000
aBm9A4O,4.0615,28.3231,48.8769,16.1231,2.4615
aLw6ZXW,2.0000,11.3333,70.6667,13.3333,2.3333
aGdKrGK,4.7500,34.7500,42.0000,16.5000,2.1250
a8GdRV3,5.5714,29.0357,50.8929,11.8214,2.5357
aLw6O6V,6.3750,35.8750,37.7500,16.5000,3.6250
aD4RKZB,6.0000,34.5000,20.0000,34.0000,6.0000
a7WvY9w,5.8000,26.9200,44.6000,20.0400,2.4400
aO7oMGv,2.6000,18.0000,56.1000,20.1000,3.2000
a8GdRVe,3.7500,25.2500,40.5000,15.5000,15.0000
an4emrb,12.8750,42.8750,32.3750,9.6250,2.0000
aR76yYA,3.1250,23.0000,46.1250,24.6250,2.7500
ax9EL41,3.0000,17.5000,58.2500,18.5000,2.2500
aqn4Pzp,3.5000,16.0000,46.0000,28.0000,6.0000
aD4RKMZ,5.3750,25.6250,39.5000,23.7500,6.0000
aYyj3mx,5.1667,28.0833,49.7500,14.2500,2.9167
abG3NBv,16.0000,67.0000,14.0000,2.0000,1.0000
a8GdQvd,7.0000,38.5000,44.6667,8.1667,1.6667
aVwjpVM,4.1429,26.0000,51.8571,15.2857,2.8571
aMxeoOX,2.7500,23.0000,61.0000,12.0000,0.7500
aXgZye9,7.0000,26.6667,57.0000,8.3333,1.3333
aNgm730,6.2222,20.0000,49.5556,20.7778,3.1111
awBNEvB,1.5000,7.0000,81.0000,7.5000,2.0000
apGKn2p,4.0000,26.1667,44.5000,22.1111,3.1667
a8GdRm6,2.0000,22.0000,65.0000,9.0000,1.0000
aQd6LVK,4.0000,21.3333,59.6667,13.3333,1.3333
a7WvYnx,11.4118,34.7647,29.2059,17.8529,6.8529
aR76bO5,4.7143,27.5714,40.5714,23.4286,3.5714
an4eV5V,3.1538,25.7692,47.1538,20.2308,3.8462
arV1QB0,4.1667,25.0000,40.5000,24.5000,5.8333
a9njxBD,6.0526,32.2632,45.3158,14.2105,2.3158
azm7Dmx,3.1250,15.2500,57.0000,19.8750,4.5000
apGK41W,6.7895,29.9474,38.1053,21.5263,3.4737
a0NvxKn,5.0000,36.3750,43.7500,13.6250,1.5000
awBN8Or,5.1429,30.1429,49.5714,13.0000,1.7143
an4emVn,4.8000,21.0000,31.8000,36.4000,5.8000
azm7WQZ,4.2500,30.2500,26.7500,29.2500,9.5000
aYyj3dx,10.4118,31.5882,39.8824,15.5882,2.5294
a5WpOBo,2.7500,17.7500,47.2500,27.0000,5.2500
a7WvP8A,7.6667,29.4667,34.6000,22.2667,5.9333
aBm9AvO,4.0000,29.7500,37.7500,24.0000,4.5000
a9njxqK,6.3333,33.1333,41.6000,15.4000,3.6000
arV1Qzp,4.8421,27.3158,51.2105,14.1579,2.3684
aD4RKPZ,4.1250,26.6250,55.5000,11.3750,2.2500
aNgm7Vv,2.0000,9.0000,39.0000,43.0000,6.0000
amvqedj,4.6250,28.8750,34.2500,26.6250,5.3750
a9njxVo,3.4000,23.6000,60.4000,10.8000,1.6000
aK74QL1,3.8000,27.4000,31.4000,33.6000,4.6000
a1WpyeP,5.5000,29.0000,43.5833,18.0000,3.6667
aeDKnRQ,12.3333,39.0000,39.6667,8.0000,1.3333
ayeEb6X,3.5000,30.0000,54.0000,11.5000,1.5000
azm7WBp,3.3333,20.3333,54.3333,19.6667,3.0000
aVwjp18,4.2000,23.0000,31.2000,34.2000,7.6000
aAeB8EL,5.7500,34.0000,51.0000,8.2500,1.2500
aBm9AoO,6.2857,37.5714,48.4286,5.8571,1.2857
avz2MZW,4.0000,24.6667,47.1667,19.5000,4.3333
a43pXmp,4.0000,27.2857,41.5714,23.2857,4.1429
a9njxVD,2.3158,16.4211,53.9474,24.2632,3.3684
a5WpOyq,2.5714,20.7143,55.7143,18.1429,2.5714
an4emW0,8.5455,40.3636,36.5455,12.0000,2.6364
avz2BjM,7.5556,44.8889,39.0000,7.1111,1.4444
avz2MeM,0.0000,1.0000,5.0000,76.0000,18.0000
aGdKmN6,8.4000,35.0000,33.3000,20.1000,3.0000
aLw6Od6,6.7273,35.0909,37.0909,17.9091,3.0909
aBm9ANA,2.5000,21.5000,55.5000,18.5000,2.0000
aqn4PDv,4.2500,29.5000,41.5000,20.5000,4.2500
aoPmqmm,7.5000,33.6667,36.0000,17.6667,4.6667
aMxeoNG,6.6667,26.1667,46.3333,17.5000,3.3333
arV1QrV,2.8000,18.1333,45.5333,27.8667,5.5333
aR76bNM,3.0000,22.8000,47.8000,22.4000,3.8000
arV1Q9V,6.0000,32.3636,39.0000,19.4545,2.9091
aLw6ZVM,3.6000,25.2000,47.2000,21.8000,1.8000
ayeEbZM,13.1250,29.1250,48.7500,6.6250,2.1250
a8GdRnO,4.0000,31.0000,62.0000,2.3333,0.3333
aGdK646,5.8333,20.7500,39.5833,29.3333,4.6667
aGdKqv5,5.3000,29.5000,45.3000,15.0000,4.7000
a2WE39O,9.6667,32.3333,43.6667,11.6667,2.6667
aYyj3ZO,2.0000,12.0000,74.5000,9.0000,2.0000
aXgZdnb,5.5882,26.0000,40.4118,21.6471,6.5294
adVyGeD,2.9167,14.9583,68.1250,11.7083,2.0417
aAeB8P9,3.0000,25.0000,47.5000,21.0000,3.0000
aNgm784,5.6000,19.4000,59.0000,14.2000,1.8000
agArD6x,6.5556,35.0000,35.7778,19.1111,3.5556
aqn4PVQ,5.8571,29.0286,41.5429,19.4857,4.0571
aD4RKr9,5.1818,23.8182,33.9091,28.9091,8.2727
a8GdRvY,5.4706,30.1765,53.0000,9.8235,1.7059
azm7Wop,3.0000,17.2000,35.9000,38.5000,5.2000
amvqe9j,8.7500,43.2500,20.0000,15.5000,12.0000
abG3dAb,7.3506,33.7013,37.0779,17.8182,3.9870
aoPmqwg,3.5000,20.8333,51.1667,21.1667,3.0000
a8GdRze,5.0000,61.0000,31.0000,3.0000,1.0000
adVy2mN,5.1455,25.7455,46.2000,17.4727,5.4364
apGK4dE,6.0000,30.8182,41.8182,16.8182,4.1818
a6KrxZN,3.6000,27.6000,54.6000,12.8000,2.0000
avz2KEX,7.0769,40.5385,40.5385,9.6923,2.1538
aqn4PGj,2.7500,22.2500,50.5000,22.5000,2.2500
aEPdNbn,4.1333,24.5333,51.8667,16.6667,2.7333
arV1Qyd,6.8889,29.1667,36.8333,21.7222,5.2222
a0NvrDz,7.3000,24.3000,44.1000,20.6000,3.3000
azm7WPz,9.5000,40.2500,44.5000,4.7500,1.0000
