id,comments count,section,type,person,people,cat,dog,other animal,poster,clothing,car,toy,tree,glasses,building,electronic device,airplane,guitar,pattern,image_text,comments,score,log_score
aNgmNV6,2,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,91,-20.0,1.0,0.6931471805599453
aNgmNZv,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3333,7.75,2.169053700369523
aNgmoDb,75,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.9767,43.225433526011564,3.789300042734073
aNgmOrv,301,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.361616161616162,2.7318719410396297
aNgmp2G,37,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25,2.847812143477369
aNgmPdA,138,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,23.6,3.202746442938317
aNgmqg6,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5556,22.583333333333332,3.1605402478552374
aNgmQMK,54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,45.625,3.8421368779639797
aNgmR5w,131,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.223880597014926,3.643460466808559
aNgmRzw,49,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,-18.5185,8.928571428571429,2.295416603515433
aNgmVBA,161,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.28604118993135,3.4431720296998365
aNgmVEb,305,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,74.07936507936508,4.318545755094446
aNgmVxw,244,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,44,0,28.492957746478872,3.3841515143891665
aNgmw2w,231,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.58620689655172,3.5434549579754613
aNgmwKK,220,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,74.16216216216216,4.31964794158974
aNgmX53,19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5556,7.176470588235294,2.1012605890744758
aNgmX9G,29,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,6.232142857142857,1.9785353763713898
aNgmXxv,120,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,4.383647798742138,1.6833661739215104
aNgmYK6,59,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.0541,36.354166666666664,3.620444462697242
aNgmYpr,321,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,22.70096463022508,3.1655157490100545
aNgmZ0v,242,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,-12.1951,10.479452054794521,2.440558659333692
aNgmZeK,37,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,28.96153846153846,3.399914507849266
aNgmZow,51,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64,0,17.231884057971016,2.9031719326631267
aO066g2,67,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,0,13.947019867549669,2.7045119400026114
aO066OR,156,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.300847457627118,2.8507554862939655
aO066qE,276,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.06148867313916,3.047446191441183
aO06g4E,201,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.062103929024081,2.08717455583293
aO06gGR,52,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115,0,16.17910447761194,2.8436937893309167
ao5BB3n,372,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.628865979381445,4.088139785335218
ao5BbD0,349,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,10.550970873786408,2.446769491771584
ao5BbNX,127,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0882,36.0,3.6109179126442243
ao5BrGw,133,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62,0,28.774436090225564,3.3936501760267723
ao5BrKX,306,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-7.7922,27.068181818181817,3.3346366151438165
ao5BvD3,1400,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43.090308370044056,3.786239993449358
aO7o2bR,147,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16078431372549,2.5772415224286704
aO7o3L2,115,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.803108808290155,3.7797047922218496
aO7o3vM,210,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.563758389261745,2.5308163510920783
aO7o473,174,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,328,0,20.477777777777778,3.067018808878066
aO7o502,41,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.884615384615385,2.3873503596217556
aO7o53N,262,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.623655913978494,2.748786170417027
aO7o54r,63,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,160,0,3.9627906976744187,1.6019682231740906
aO7o55v,122,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.897435897435898,3.36375286791013
aO7o586,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96,-25.0,40.63636363636363,3.7289739113158142
aO7o5dM,8,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,-5.0,20.923076923076923,3.0875398228071136
aO7o5nM,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25.0,19.02,2.9967317738870745
aO7o5PE,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038,0,5.875,1.927891643552635
aO7o5py,106,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,54,0,18.56,2.9734866646066713
aO7o5rv,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2,3.054001181677967
aO7o5zM,25,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9412,56.77777777777778,4.056604234239254
aO7oA0v,25,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9412,33.75,3.548179572010801
aO7oA26,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6667,15.936170212765957,2.8294515841343246
aO7oA72,5,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55,0.0,13.88888888888889,2.700615222614692
aO7oAby,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-25.0,10.0,2.3978952727983707
aO7oADD,22,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,-12.5,48.4375,3.9007092455278727
aO7oAGy,173,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,65.296,4.194129563546741
aO7oAM2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.375,2.339399066116762
aO7oAnR,25,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,-8.3333,12.223880597014926,2.582024331214115
aO7oAQN,122,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,20.90118577075099,3.0865407801398295
aO7oAXN,24,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2857,22.686274509803923,3.1648957457704348
aO7obpr,203,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3333,8.372937293729374,2.2378265256458825
aO7oBwr,172,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.968992248062015,2.705980878066842
aO7oD2D,48,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,14.738636363636363,2.756118604143232
aO7od3M,56,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,12.449664429530202,2.598954156259296
aO7oDB2,71,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,2.0412203288596382
aO7odOy,43,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,5.3681592039801,1.851310448854587
aO7oeNy,407,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.546341463414635,2.529429106219102
aO7oGmD,50,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.057471264367816,2.0865997683800064
aO7oGW3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,31.6,3.484312288372662
aO7oGXM,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64,0,10.4,2.4336133554004498
aO7oGZ2,65,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,-3.0,7.439024390243903,2.1328667083534163
aO7ojKv,15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.3846,5.884615384615385,1.929289267819273
aO7ojov,186,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,42.07821229050279,3.7630173539922054
aO7ojy2,24,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.75,2.8763855159214247
aO7oL2R,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16.6667,0.875,0.6286086594223741
aO7oL6R,20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.098039215686274,2.091621960236707
aO7oL7y,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.0,8.666666666666666,2.268683541318364
aO7oL9v,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0.0,4.857142857142857,1.7676619176489945
