id,comments count,type,image_pred,sentiment_pred,keywords_pred,score,log_score
a0Nv0Pd,62,2,2.3408259831561082,2.017710561387081,2.3513097864529944,17.867924528301888,2.9374633654300153
a0Nv1bq,506,1,2.2999313044332492,2.017710561387081,2.3416639538891992,30.629464285714285,3.454089100269741
a0Nv1jn,389,2,2.2999313044332492,2.017710561387081,2.3416639538891992,29.73051948051948,3.4252562806698488
a0Nv3ed,22,1,2.3408259831561082,2.411435205255187,2.3513097864529944,34.9375,3.581781318557569
a0Nv4Yv,77,1,2.4501895384033054,2.017710561387081,2.3137302902992336,18.923076923076923,2.991878704238001
a0Nv7Vn,110,2,2.452396429199302,2.017710561387081,2.3513097864529944,31.04,3.4669851222001586
a0Nv85Q,126,2,2.3408259831561082,2.017710561387081,2.3513097864529944,32.671875,3.5166629191781764
a0Nv9nL,102,2,2.3408259831561082,2.017710561387081,2.3513097864529944,31.134831460674157,3.4699405340817586
a0NvB0n,0,1,2.449264856723017,2.017710561387081,2.343129146797178,2.3333333333333335,1.2039728043259361
a0NvB3X,2,2,2.3408259831561082,1.7847507500687605,2.3513097864529944,3.2857142857142856,1.455287232606842
a0NvB4v,4,1,2.32936893362563,2.017710561387081,2.3513097864529944,1.2857142857142858,0.8266785731844679
a0NvB5d,20,2,2.4244730263183865,2.017710561387081,2.3513097864529944,77.54545454545455,4.363677496005685
a0NvB8L,0,1,2.399472607595687,2.017710561387081,2.3513097864529944,2.375,1.2163953243244932
a0NvBEL,14,1,2.271939957887863,1.5863560268390406,2.3513097864529944,0.9090909090909091,0.6466271649250525
a0NvBev,22,1,2.2999313044332492,2.017710561387081,2.3416639538891992,2.3333333333333335,1.2039728043259361
a0NvBjB,11,1,2.3408259831561082,2.4202352825059714,2.316299959312058,3.8,1.5686159179138452
a0NvbKn,189,2,2.3408259831561082,2.017710561387081,2.3513097864529944,32.95862068965517,3.5251427448837696
a0NvbMX,46,1,2.445348096723451,2.386919098808624,2.3513097864529944,23.01948051948052,3.1788651894188247
a0NvBoQ,3,1,2.219042674069412,1.2538579341342806,2.3513097864529944,2.6,1.2809338454620642
