id,comments count,section,type,person,people,cat,dog,other animal,poster,clothing,car,toy,tree,glasses,building,electronic device,airplane,guitar,pattern,image_text,comments,get,like,go,make,one,quarantine,time,good,know,day,guy,see,look,new,people,right,old,say,year,still,score,log_score
a0Nv0Pd,62,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.87421383647799,2.8833591064368145
a0Nv1bq,506,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.633928571428573,3.4221081715633552
a0Nv1jn,389,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.733766233766232,3.3922833102434664
a0Nv3ed,22,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,3.5553480614894135
a0Nv4Yv,77,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,119,-0.05874526493524368,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.942307692307693,2.9413979225906615
a0Nv7Vn,110,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.045,3.4354377648168564
a0Nv85Q,126,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32.6875,3.4869927418251416
a0Nv9nL,102,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.146067415730336,3.438687990577654
a0NvB0n,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.6666666666666665,0.9808292530117262
a0NvB3X,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4285714285714284,1.2321436812926323
a0NvB4v,4,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.4285714285714286,0.3566749439387324
a0NvB5d,20,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.63636363636364,4.3520359209901995
a0NvB8L,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.9162907318741551
a0NvBEL,14,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,-0.36363636363636365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
a0NvBev,22,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6666666666666665,0.9808292530117262
a0NvBjB,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03333333333333333,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.8333333333333335,1.3437347467010947
a0NvbKn,189,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.96206896551724,3.495357475083243
a0NvbMX,46,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,-0.21428571428571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.025974025974026,3.136622884220524
a0NvBoQ,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,1.0296194171811581
a0NvBOZ,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.125,0.11778303565638346
a0NvBqd,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.333333333333333,1.466337068793427
a0NvBrz,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.6931471805599453
a0NvBVn,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.888888888888889,1.0608719606852626
a0NvBwZ,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,383,-0.42857142857142855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.1666666666666667,0.15415067982725836
a0NvBxO,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.3862943611198906
