id,comments count,section,type,person,people,cat,dog,other animal,poster,clothing,car,toy,tree,glasses,building,electronic device,airplane,guitar,pattern,image_text,comments,get,like,go,make,one,quarantine,time,good,know,day,guy,see,look,new,people,right,old,say,year,still,score,log_score
a0NvBXQ,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7142857142857144,0.9985288301111273
a0NvD5L,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.8,3.0349529867072724
a0NvdGL,650,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.670967741935485,2.9791438300690083
a0NvDLn,26,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.793103448275862,1.9159078987515146
a0NvDNO,258,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.206451612903226,3.054305456744973
a0NvDpq,7,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38,-0.2857142857142857,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.6521739130434785,2.034989779109002
a0NvDZB,213,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,-0.05874526493524368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.9569620253164555,2.0740472718964456
a0NveAq,305,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.632098765432099,2.3638776108177693
a0NvenO,95,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.16923076923077,3.6154812891590686
a0Nvezz,209,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.92035398230089,4.05906885963166
a0Nvg8O,8,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,83,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.928571428571429,2.6339422289484884
a0NvG9X,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,1.916922612182061
a0NvgDX,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,-0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,2.302585092994046
a0NvgEO,11,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.075,1.6243265249278511
a0NvGjv,15,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.083333333333332,2.8949907037524594
a0NvGqn,96,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04597701149425287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.625,2.3632097148104805
a0NvgVL,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,238,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.444444444444445,2.245426679154097
a0Nvgyv,24,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.615384615384617,3.2033716383322357
a0NvGzv,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,-0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.692307692307693,3.122025998878283
a0Nvj2z,44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.61904761904762,3.9043747845898893
a0NvKbB,43,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.1875,3.4400173735117376
a0NvMxB,230,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.735449735449734,3.6567551945870003
a0NvN4q,140,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.50655021834061,3.0207443579536926
a0NvNEB,90,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.21568627450980393,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.234299516908212,1.9788335367242353
a0NvnEn,89,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.734693877551024,3.547739011022693
a0NvNnO,94,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0.017857142857142856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.36513157894737,2.7951529481864714
a0NvNRQ,157,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.443835616438356,2.858986326434534
a0NvOLL,238,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75,-0.05874526493524368,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23.465408805031448,3.155527371000926
a0NvovL,95,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.362595419847327,2.963343133805593
a0NvOWZ,43,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.885245901639344,2.184392137266335
a0NvpZQ,78,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,128,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.659574468085108,2.9263593906621246
a0NvQ9Q,51,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.71153846153846,2.8742163176738793
a0NvQGL,490,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.979289940828401,2.7066685764868903
a0NvqKd,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.333333333333333,1.6739764335716716
a0NvQmd,168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78041825095057,2.820212626291628
a0NvqNX,22,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,-0.058823529411764705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15,2.0980179272527715
a0NvqpO,143,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.41908713692946,3.699302127280301
a0NvqwZ,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88888888888889,2.2914117923959205
a0NvQxq,16,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-0.05952380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03448275862069,3.092608624391061
a0NvqzO,12,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.27906976744186,3.0095893082154173
a0Nvr2n,11,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,1.2237754316221157
a0Nvr6Z,4,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.111111111111111,0.7472144018302211
a0Nvr7n,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,-0.05874526493524368,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.9555114450274363
a0Nvr8B,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.47000362924573563
a0NvrBn,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1111111111111112,0.10536051565782635
a0NvrDz,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,-0.3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.3636363636363635,0.31015492830383945
a0Nvrmq,3,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,148,0.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,32.888888888888886,3.493134876987841
a0Nvrqv,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.6931471805599453
a0NvrWX,8,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.75,1.3217558399823195
a0NvrZn,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.875,1.5841201044498106
a0NvV3L,328,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,14.956072351421188,2.7051173947215927
a0Nvw3Z,22,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3157894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.875,3.172831886366794
a0Nvw7O,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.375,1.8523840910444898
a0NvW9O,20,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.818181818181817,3.4600378816850887
a0NvWDX,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.90625,3.364057834712699
a0NvWen,28,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.08695652173913043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.404255319148936,2.4339865593607435
a0NvWjd,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,2.060513531794317
a0NvWpd,126,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.858895705521473,2.6985987233062754
a0NvwrO,13,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,2.145931282948669
a0NvWRv,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,-0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.166666666666668,2.953172659135195
a0Nvwxn,12,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,65,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.76,2.464703942470481
a0NvWzd,110,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.14814814814815,3.1419147837320724
a0Nvx2L,53,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,-0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.936507936507937,2.703808413193847
a0Nvx8d,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,-0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.066666666666666,2.087740344494531
a0NvxGQ,33,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.137535816618911,1.4201003972503443
a0NvxKn,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,-0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,2.5494451709255714
a0NvxNq,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.823529411764707,3.211791969979796
a0Nvxvd,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.3862943611198906
a0NvxVO,107,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.99029126213592,3.5550706304985926
a0NvXwq,174,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.654901960784315,3.5454391863595784
a0NvxXO,23,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.088888888888889,2.713958637788376
a0Nvy1X,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.333333333333333,1.6739764335716716
a0Nvy5n,69,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.846846846846848,2.9363456238724797
a0Nvy6d,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.92307692307692,3.910483359242553
a0Nvy8X,19,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.88,3.7584055167625467
a0Nvygn,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0.8109302162163288
a0NvYMX,82,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0847457627118644,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.434108527131784,3.154192590417786
a0NvyNL,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0986122886681098
a0NvyoO,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,222,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-0.6931471805599453
a0NvyOz,20,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619047619047616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.166666666666666,2.719100037288795
a0Nvypv,111,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.157407407407407,2.412103618800536
a0NvyPz,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,2.1972245773362196
a0NvyrL,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.8754687373538999
a0NvyVB,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.6931471805599453
a0NvYvd,124,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.064646464646465,2.8939567942252356
a0NvyvX,12,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0986122886681098
a0NvyXB,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,1.5686159179138452
a0Nvyxv,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,104,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2857142857142856,1.1895840668738364
a0NvyZZ,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,-0.05874526493524368,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.75,0.5596157879354227
a0NvzbB,23,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.05874526493524368,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,20.02857142857143,2.9971598255451766
a0NvzjO,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.384615384615385,2.23907168727172
a0Nvznn,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.466666666666667,2.6002174962989946
a0NvZOn,104,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.80722891566265,3.63250032549638
a0NvzQd,111,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.612745098039216,3.453560365166161
a0NvzwL,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.44,2.437115985951652
a0NvzXv,294,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05874526493524368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.36263736263736,4.361347249511454
a0RmAKX,93,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09302325581395349,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.677018633540373,2.686282912202445
