a0Nv0Pd,Hat trick,2,hat|0.715,trick|0.699
a0Nv1bq,What happened?,1,happen|1.0
a0Nv1jn,Do you miss the Neinties ?,2,neinties|0.81,miss|0.587
a0Nv3ed,A different perspective,2,perspective|0.755,different|0.655
a0Nv4Yv,One of the worst moments of pc building,5,building|0.514,pc|0.483,moment|0.474,bad|0.412,one|0.329
a0Nv7Vn,Bye byee,2,byee|0.744,bye|0.668
a0Nv85Q,"In Mexico, wild black bears pet people!",6,pet|0.466,mexico|0.432,bear|0.426,wild|0.42,black|0.378,people|0.31
a0Nv9nL,"Shock wave from a volcano eruption, is it real?",5,eruption|0.501,volcano|0.478,shock|0.462,wave|0.44,real|0.336
a0NvB0n,North Korea right now,3,korea|0.623,north|0.617,right|0.481
a0NvB3X,Just another medieval version,3,medieval|0.664,version|0.579,another|0.472
a0NvB4v,Always these rich people on their yachts telling that we are all in the same boat (no pun intended),8,yacht|0.419,intend|0.4,rich|0.387,pun|0.376,boat|0.376,tell|0.293,always|0.289,people|0.25
a0NvB5d,Pica boo,2,pica|0.735,boo|0.678
a0NvB8L,"So the Last of Us 2 leaks happened, and this is a spoiler free summary of the plot",8,summary|0.429,plot|0.387,leak|0.387,spoiler|0.369,free|0.324,happen|0.308,last|0.304,us|0.295
a0NvBEL,Why would anyone brag about this?,3,brag|0.723,anyone|0.491,would|0.485
a0NvBev,"Morrisons supermarket, Sunderland UK. Saturday 25th April. Nice social distancing.",10,sunderland|0.36,saturday|0.36,morrison|0.36,uk|0.344,supermarket|0.323,distancing|0.296,th|0.288,social|0.28,april|0.275,nice|0.253
a0NvBjB,Days like these.,2,day|0.739,like|0.674
a0NvbKn,Stackoverflow and indian tutorials > my graduate degree,5,stackoverflow|0.477,graduate|0.477,degree|0.456,tutorial|0.44,indian|0.378
a0NvbMX,Haters gonna hate,4,hater|0.6,hate|0.503,gon|0.452,na|0.427
a0NvBoQ,Rock out with your coq out,2,coq|0.768,rock|0.64
a0NvBOZ,Turn the how table,2,table|0.728,turn|0.685
a0NvBqd,9gager detected,2,detect|0.751,gager|0.66
a0NvBrz,Plug finna pull up in a mf Banshee,5,finna|0.47,banshee|0.47,pull|0.448,plug|0.433,mf|0.412
